timestamp,temperature,humidity,moisture
293.318,31.0,46.0,28.1
294.333,31.0,46.0,28.5
295.618,31.0,47.0,28.2
296.632,31.0,47.0,28.6
297.917,31.1,47.0,28.9
298.932,31.1,47.0,28.6
300.217,31.1,46.0,27.9
301.232,31.1,46.0,26.5
302.517,31.1,46.0,28.3
303.532,31.1,46.0,28.3
304.819,31.2,45.0,28.8
305.833,31.2,45.0,28.7
307.118,31.3,45.0,28.7
308.132,31.3,45.0,28.3
309.417,31.2,45.0,28.7
310.432,31.2,45.0,26.9
311.717,31.3,45.0,27.2
312.732,31.3,45.0,26.8
314.017,31.2,45.0,28.6
315.032,31.2,45.0,28.1
316.318,31.3,45.0,23.7
317.333,31.3,45.0,27.3
318.618,31.3,45.0,28.6
319.632,31.3,45.0,28.5
320.917,31.3,45.0,28.3
321.932,31.3,45.0,27.3
323.217,31.3,44.0,28.7
324.234,31.3,44.0,28.4
325.518,31.2,44.0,28.6
326.533,31.2,44.0,28.9
327.818,31.3,44.0,28.7
328.833,31.3,44.0,28.7
330.118,31.2,45.0,28.6
331.132,31.2,45.0,28.8
332.417,31.2,45.0,28.9
333.432,31.2,45.0,28.5
334.717,31.2,44.0,28.8
335.732,31.2,44.0,28.7
337.017,31.2,44.0,28.8
338.032,31.2,44.0,28.8
339.317,31.2,44.0,28.8
340.333,31.2,44.0,28.9
341.618,31.1,44.0,29.0
342.632,31.1,44.0,27.2
343.919,31.1,44.0,28.9
344.934,31.1,44.0,28.7
346.218,31.1,45.0,28.7
347.233,31.1,45.0,29.0
348.518,31.1,45.0,28.4
349.533,31.1,45.0,28.8
350.818,31.0,45.0,28.9
351.833,31.0,45.0,28.7
353.118,31.0,45.0,28.8
354.132,31.0,45.0,28.8
355.417,31.0,45.0,28.9
356.432,31.0,45.0,28.6
357.717,31.0,45.0,28.6
358.732,31.0,45.0,26.7
360.017,31.0,45.0,28.9
361.032,31.0,45.0,28.6
362.317,31.0,44.0,28.9
363.332,31.0,44.0,28.8
364.618,30.9,44.0,28.8
365.633,30.9,44.0,28.5
366.918,30.8,44.0,28.9
367.933,30.8,44.0,26.7
369.217,30.7,44.0,27.9
370.232,30.7,44.0,28.4
